id,latitude,longitude,population,capacity
734940,7.94448,-12.7024,4,4
341733,7.86816,-11.1788,3,3
341734,7.26207,-11.4358,7,7
341740,7.97613,-10.7141,5,5
210676,7.90117,-10.6903,1,1
210677,8.32683,-10.3825,8,8
210678,9.47987,-10.8581,6,6
210679,8.95434,-11.6132,5,5
210680,8.48193,-13.2463,8,8
777855,8.32342,-13.0622,4,4
603905,8.63258,-10.8447,3,3
210690,7.9211,-12.3367,6,6
603907,8.98581,-12.6702,11,11
210692,8.48919,-13.2123,8,8
341765,8.39129,-11.2543,5,5
603910,9.44552,-11.801,3,3
624940,8.66388,-10.6001,8,8
341772,9.21214,-12.5213,10,10
341773,8.89048,-12.5694,7,7
231726,8.45041,-12.9385,7,7
210716,8.69528,-11.2807,5,5
341803,7.56757,-12.8276,6,6
341806,7.2613,-11.4997,3,3
866095,7.95923,-11.74,5,5
472880,8.49149,-13.2366,6,6
472882,7.96251,-10.9402,7,7
472884,7.48134,-12.5369,1,1
210745,7.96287,-11.7464,9,9
210751,8.37959,-11.281,11,11
450187,8.46143,-13.2764,5,5
603973,7.85655,-11.0472,6,6
472902,8.11277,-11.2516,4,4
341833,9.13237,-12.0082,4,4
341834,8.47472,-13.2647,2,2
341835,8.25618,-11.5701,6,6
341836,7.87399,-11.1855,5,5
341837,8.77643,-10.6732,4,4
341838,7.22541,-11.7951,6,6
341839,9.51466,-12.2694,2,2
341840,8.46555,-10.3386,5,5
603985,8.63191,-11.4994,4,4
341852,8.08866,-10.745,6,6
79723,9.5544,-12.406,6,6
341868,8.50528,-12.3314,4,4
341869,8.00196,-11.7561,3,3
341870,8.21175,-11.0699,5,5
79732,8.95173,-12.8829,4,4
604021,8.47922,-13.2619,5,5
79734,9.2316,-11.8812,9,9
604024,8.64627,-10.9694,11,11
210813,8.4289,-13.2825,5,5
210814,9.07023,-11.9034,4,4
210815,8.11836,-10.9378,7,7
210816,8.39325,-12.263,11,11
210817,8.64495,-10.9807,6,6
210818,9.55844,-12.0864,4,4
210819,7.97055,-11.7427,2,2
210820,8.02065,-11.5766,5,5
735109,8.61757,-11.4513,4,4
735110,8.2664,-11.8874,6,6
210824,8.2123,-11.0695,12,12
604041,9.16542,-11.4226,10,10
472976,8.48785,-13.2319,4,4
472977,8.48599,-13.2149,5,5
472978,9.02178,-12.4633,4,4
472979,8.59504,-12.3053,12,12
472980,7.8743,-11.1947,9,9
799728,8.64337,-11.1617,7,7
79779,9.12362,-12.6252,4,4
79780,8.86112,-11.6448,9,9
559430,8.46544,-12.2179,9,9
735142,8.30038,-10.879,7,7
866215,8.66245,-12.8378,3,3
515740,8.38602,-10.3686,12,12
559431,8.15209,-12.3739,6,6
749478,7.8929,-11.7413,11,11
559432,9.40407,-12.5476,9,9
210867,7.31099,-11.3063,6,6
210868,8.47587,-13.2663,3,3
210869,8.47716,-13.2131,5,5
210870,7.77327,-12.6632,6,6
341955,8.47847,-12.3267,6,6
341956,9.0041,-10.6524,12,12
341959,8.859,-12.8404,10,10
866259,8.82909,-12.6785,3,3
866260,7.95956,-11.7476,5,5
866261,8.92876,-12.4488,7,7
866262,7.81218,-12.1279,5,5
866263,9.37902,-12.3575,7,7
866264,9.53211,-11.5668,8,8
866265,7.67826,-10.9787,3,3
866266,8.48884,-13.2251,4,4
341979,8.89443,-12.6815,4,4
866268,8.37429,-11.9815,7,7
866269,7.97317,-10.8015,6,6
866270,8.08974,-12.5397,5,5
559440,8.67188,-10.8612,4,4
604130,8.2631,-10.857,5,5
604136,8.49133,-13.2252,9,9
604138,8.37584,-13.1518,7,7
604140,8.64017,-10.9716,3,3
604156,8.48213,-13.2531,4,4
997377,7.76479,-10.8115,258,999999999
997378,9.33134,-11.8625,381,999999999
997379,8.61685,-11.8687,358,999999999
997380,7.86274,-10.6637,133,999999999
342025,8.63809,-10.9245,7,7
342026,8.75936,-11.029,1,1
342027,9.06016,-12.904,10,10
342028,8.63428,-10.9771,1,1
342029,8.45924,-12.3825,4,4
342030,8.46892,-13.2743,3,3
604176,8.95371,-13.2615,6,6
756056,9.01663,-10.7173,3,3
604180,8.46953,-13.2391,11,11
887129,8.42313,-13.1598,7,7
473112,8.74948,-11.5271,7,7
604185,8.55158,-12.0047,3,3
473114,8.64607,-10.9647,5,5
887130,9.54541,-11.8777,6,6
210982,9.16799,-12.8566,3,3
756060,8.93479,-11.2533,6,6
210995,9.6989,-12.2627,7,7
866356,7.81718,-11.283,3,3
866357,8.47588,-13.2615,6,6
210998,8.12225,-11.3714,5,5
866359,8.48433,-13.262,3,3
866360,8.49085,-13.2676,3,3
777908,7.86917,-11.3058,4,4
396828,7.91367,-12.2101,11,11
79931,7.47927,-11.8864,6,6
79934,8.60299,-11.8949,9,9
79935,8.3279,-11.8395,6,6
79936,9.46352,-12.2684,6,6
79937,7.59172,-11.5877,5,5
79938,8.65517,-11.3968,5,5
79939,8.19637,-12.3072,3,3
79940,8.48426,-13.2908,7,7
912711,8.20389,-11.4265,4,4
431744,7.95877,-11.7294,12,12
79946,8.64574,-10.818,1,1
79947,7.81669,-10.9305,8,8
79948,8.48924,-13.2714,9,9
79949,9.36194,-11.5665,7,7
79950,7.9681,-11.7394,6,6
79951,8.11125,-12.0732,5,5
211025,8.14234,-10.5932,6,6
866388,8.48284,-13.2113,7,7
866389,8.18133,-12.0926,11,11
866390,8.35046,-12.4598,6,6
515769,8.48894,-13.2724,2,2
888660,9.18568,-12.3311,8,8
275471,8.20508,-12.6554,5,5
275472,7.47756,-11.2247,5,5
473187,8.47147,-13.2641,5,5
604260,8.47765,-13.2655,5,5
997477,7.85132,-11.0002,554,999999999
997478,9.46673,-12.2715,377,999999999
275473,8.47091,-10.8584,17,17
997480,7.95841,-11.726,45,999999999
275474,8.76744,-12.4839,4,4
342129,9.18039,-11.7831,5,5
342130,8.65688,-12.8692,7,7
342133,8.49251,-13.2857,4,4
342135,7.68578,-11.3792,1,1
735352,7.6156,-11.7671,4,4
603156,7.96672,-11.7462,2,2
735358,7.44196,-11.5523,11,11
865301,9.23768,-12.4944,5,5
473223,7.95967,-11.7428,5,5
734232,7.08351,-11.6148,9,9
80022,8.73718,-13.0962,4,4
80023,8.809,-11.6641,5,5
80024,8.78992,-11.5962,3,3
80025,8.63869,-12.7178,4,4
80026,7.45931,-11.7135,12,12
80027,8.36452,-11.6329,5,5
80028,8.54109,-11.2487,4,4
80029,9.52203,-12.4342,5,5
80030,8.09689,-10.9845,9,9
342175,9.86569,-11.4325,6,6
341019,8.1687,-11.8523,5,5
211110,7.96503,-11.7363,7,7
211111,9.51254,-12.2381,7,7
211112,7.54334,-12.7155,6,6
341020,8.4655,-13.2639,6,6
342187,7.86912,-11.3389,2,2
342188,9.50171,-12.2415,6,6
342189,8.20751,-11.0631,5,5
342190,7.97908,-11.7354,5,5
472093,8.38555,-12.3226,6,6
788279,7.96082,-11.7389,13,13
472094,8.64456,-12.6175,4,4
930847,8.47882,-13.2467,4,4
342207,8.48528,-13.2423,4,4
80065,8.46437,-13.2566,5,5
838189,7.31942,-11.2514,5,5
930849,7.7804,-10.9611,4,4
80077,8.6454,-11.4644,5,5
604372,8.49036,-13.2333,10,10
473308,8.47838,-13.2099,7,7
473309,7.1809,-11.7513,7,7
473310,8.70184,-13.107,4,4
865317,8.48591,-13.2687,5,5
473312,8.93269,-11.7113,11,11
80097,9.38551,-11.7555,5,5
735462,8.56176,-11.4139,1,1
735463,9.37956,-11.9843,6,6
604392,8.03302,-12.1488,5,5
604393,8.58987,-11.4257,4,4
80106,9.40802,-11.8542,2,2
604395,8.68038,-12.5265,5,5
80108,9.06755,-12.6632,13,13
604397,9.08086,-12.5991,4,4
80110,8.11446,-12.079,6,6
604399,8.34786,-11.8621,8,8
604400,9.09925,-12.038,8,8
866546,8.81697,-13.1015,6,6
866550,8.42606,-13.2771,3,3
622430,7.98318,-11.7316,8,8
735505,8.49043,-13.2682,4,4
936676,9.30235,-12.7793,4,4
211222,8.47968,-13.2667,2,2
625028,8.47131,-12.2302,3,3
211228,8.41692,-12.3382,2,2
604452,7.46775,-12.5523,5,5
515804,7.31017,-11.3072,10,10
936677,8.48629,-13.2084,6,6
342324,8.20109,-10.4193,6,6
342329,8.47744,-13.2562,1,1
342330,8.45141,-11.9431,3,3
473410,8.87508,-12.0531,4,4
211272,7.96393,-11.7413,3,3
240581,8.21557,-10.4729,4,4
936678,8.45849,-13.1761,3,3
80212,7.81956,-11.7291,6,6
997728,8.48938,-13.2331,194,999999999
997730,8.634,-10.9985,216,999999999
80229,7.69445,-11.4076,4,4
80232,7.22956,-11.9824,4,4
342377,8.61052,-12.132,6,6
936679,7.64606,-11.6181,7,7
777960,8.91168,-12.5276,7,7
792650,9.5071,-12.6102,4,4
473465,7.96452,-11.732,4,4
473468,7.95927,-11.7531,7,7
936680,8.87873,-12.1274,8,8
792651,8.46791,-12.2158,13,13
858119,7.85644,-10.8549,10,10
997799,7.95401,-11.7332,202,999999999
997800,7.35095,-11.6908,469,999999999
211383,9.32462,-11.1886,10,10
473536,8.21099,-11.5875,3,3
211393,8.90425,-12.9233,10,10
604610,7.42466,-11.6049,4,4
406604,8.48334,-13.2231,9,9
866775,9.12688,-12.9222,6,6
866776,8.36583,-11.7157,6,6
866777,8.74641,-12.7971,2,2
866778,8.16619,-11.4907,1,1
866779,7.60631,-11.5632,4,4
866780,9.47098,-12.3131,3,3
473570,7.85234,-11.1865,7,7
941615,9.30565,-10.8366,2,2
211431,7.09418,-11.4963,4,4
342505,8.15972,-12.428,1,1
342508,8.48169,-13.2704,5,5
604659,7.9522,-11.7321,6,6
866804,8.59958,-11.0733,9,9
866807,7.18315,-11.789,10,10
342527,7.47139,-11.821,2,2
342530,8.48647,-13.21,6,6
604676,8.40612,-11.7201,6,6
473613,7.86992,-11.1901,2,2
604701,9.15805,-12.59,8,8
57094,8.34576,-10.7331,6,6
604711,8.36536,-10.3412,11,11
80424,8.86416,-12.5696,1,1
406620,8.48187,-13.261,6,6
984695,9.15714,-11.8657,6,6
473647,8.9938,-13.013,6,6
473650,7.21845,-11.846,11,11
211519,8.89308,-12.7085,5,5
211520,8.29404,-11.787,7,7
146708,7.45338,-12.1734,10,10
843533,8.4871,-13.2446,3,3
80472,8.42717,-12.2424,4,4
80473,9.51664,-11.5689,6,6
342618,9.26847,-11.7925,3,3
342619,8.49113,-13.2248,4,4
342620,8.4476,-12.237,15,15
342623,8.48138,-13.2604,4,4
342630,8.17931,-11.4417,5,5
604781,8.65485,-10.9797,2,2
866929,8.59008,-13.0501,5,5
998002,8.4899,-13.2592,81,999999999
604787,7.98623,-12.7885,7,7
604788,8.49067,-13.2306,3,3
604789,8.08163,-11.0318,5,5
604790,8.63386,-10.9518,6,6
604791,8.10528,-11.5085,7,7
604792,8.61174,-12.9571,5,5
604793,8.71726,-11.1175,8,8
604794,9.3941,-12.6599,10,10
604795,9.07449,-12.7294,4,4
604796,8.4792,-13.2666,10,10
604797,8.85834,-11.6988,5,5
604798,6.976,-11.4219,7,7
604799,8.53368,-12.3137,4,4
604800,8.34619,-12.3246,8,8
996459,7.69147,-11.5102,29,999999999
211589,9.03928,-11.823,4,4
211590,9.58819,-12.5595,6,6
996460,8.1579,-12.4325,10,999999999
211597,8.11454,-11.5528,5,5
984699,8.00279,-10.8195,11,11
211622,8.48158,-13.2153,5,5
530789,8.4913,-13.24,10,10
342696,8.34724,-10.8392,6,6
998059,8.48216,-13.2466,72,999999999
473772,9.67259,-11.925,6,6
342703,8.32759,-12.5256,4,4
473793,8.18386,-11.7972,4,4
473794,8.4784,-11.7963,6,6
473795,8.23015,-11.0419,11,11
473796,8.69723,-11.2508,6,6
473797,8.64665,-10.968,7,7
473798,8.47657,-13.2665,3,3
473799,7.02165,-11.3916,5,5
473800,9.23494,-12.3135,5,5
80590,9.03605,-12.4855,6,6
756173,8.48844,-13.2455,8,8
211669,8.49089,-13.2672,1,1
211670,8.02613,-12.5656,4,4
211671,9.57905,-12.3559,4,4
756175,7.46218,-12.3572,7,7
406650,8.56729,-12.2454,7,7
867038,8.92047,-12.6818,6,6
867039,8.45164,-11.9405,4,4
867040,9.35385,-12.2047,4,4
342753,9.43623,-12.4998,3,3
342754,7.67896,-11.7082,3,3
342755,7.52799,-11.6485,7,7
342756,8.15505,-12.4313,4,4
342757,8.27616,-10.4841,6,6
342758,9.72285,-11.0118,5,5
342759,8.48313,-13.2445,9,9
342760,7.78253,-11.7762,4,4
362962,8.46075,-10.8901,5,5
211694,8.46371,-13.262,4,4
211695,8.48512,-13.2358,4,4
735985,7.99458,-10.9514,6,6
735986,7.93965,-11.3179,6,6
735987,8.47708,-13.268,3,3
735988,8.47833,-10.3443,8,8
735989,8.57125,-11.5575,6,6
735990,9.16289,-12.1653,6,6
211706,8.47009,-13.2719,5,5
342779,9.49863,-12.3135,10,10
342780,8.3323,-10.354,6,6
211710,9.317,-11.8873,9,9
80648,8.48688,-13.2147,11,11
80649,8.7654,-10.678,9,9
604941,8.76896,-12.7912,9,9
473875,7.85794,-11.1791,8,8
473876,9.84952,-11.7581,12,12
473877,7.58956,-11.6889,1,1
473878,9.08816,-12.636,7,7
473879,8.54537,-11.4138,5,5
473880,9.87044,-11.8494,9,9
928428,8.8848,-12.0395,2,2
867100,8.87444,-12.3741,7,7
211742,8.10061,-11.5135,1,1
211744,8.75157,-12.5542,4,4
604963,7.9292,-11.8843,3,3
604964,8.03869,-12.0843,6,6
604965,8.69693,-10.8826,9,9
80678,8.44794,-12.874,5,5
604967,8.68085,-12.4535,7,7
604968,8.50746,-12.8557,4,4
604969,8.47751,-13.2713,6,6
604970,9.1157,-11.5853,5,5
80686,8.39945,-12.2221,2,2
736057,8.88443,-12.0373,7,7
736058,8.96894,-10.9764,4,4
736059,8.88478,-12.044,1,1
736060,8.63822,-10.9721,4,4
406666,8.47968,-13.2712,10,10
80702,8.36002,-11.065,12,12
80703,8.18859,-11.9118,8,8
342848,7.85841,-10.9769,6,6
80705,9.13382,-12.0833,7,7
80706,8.2493,-11.593,3,3
80707,8.48751,-12.7689,7,7
80708,8.49853,-13.2855,6,6
80709,8.80321,-12.9046,5,5
80710,9.00936,-12.8371,6,6
80711,7.87409,-11.1959,7,7
879956,7.46186,-11.4788,5,5
80713,8.77042,-13.0634,13,13
80714,8.47598,-13.2253,4,4
80718,8.46677,-13.2584,5,5
867151,8.77674,-13.1483,2,2
211798,8.67683,-10.55,5,5
740292,8.03019,-10.6754,6,6
605024,7.95323,-11.7206,5,5
322637,7.85947,-10.6864,6,6
605027,8.91845,-12.2848,5,5
605028,8.20456,-10.7083,6,6
605029,8.33071,-10.6461,13,13
605030,8.77287,-12.464,1,1
736103,8.46584,-13.2736,6,6
605033,8.66258,-12.3735,7,7
80759,8.42932,-12.1658,7,7
80760,8.60439,-13.1902,12,12
211848,8.00428,-11.0483,4,4
211849,8.78402,-13.134,5,5
211850,7.7751,-11.9406,4,4
80782,9.23862,-12.2058,8,8
211856,8.49025,-13.2146,3,3
867217,7.76168,-10.7992,4,4
867218,8.46803,-13.2308,5,5
867219,8.12268,-11.7923,4,4
867220,8.41514,-11.6471,6,6
342938,8.45116,-12.176,5,5
342939,8.38967,-13.1333,8,8
342940,8.88314,-12.0461,3,3
211870,8.7385,-11.0348,5,5
342943,8.89111,-12.0367,5,5
80802,8.4873,-13.2345,8,8
80803,8.48098,-13.2594,5,5
342950,8.17709,-12.8715,4,4
474023,8.28708,-10.3467,8,8
474024,8.49014,-13.2216,6,6
474025,7.57347,-12.1036,9,9
474026,9.46891,-12.2893,4,4
474027,7.86463,-11.8491,8,8
474028,9.2443,-12.8348,6,6
474029,9.40422,-12.0693,8,8
474030,8.45174,-12.2706,4,4
211890,8.5226,-10.6611,4,4
342967,7.80465,-11.9939,7,7
867257,8.25619,-13.0582,4,4
342970,9.1766,-12.1633,8,8
867259,8.48577,-13.2197,9,9
867262,8.77454,-12.5217,6,6
867263,7.98667,-10.773,11,11
605126,7.95167,-11.7415,8,8
605127,8.31573,-10.8428,11,11
605128,7.4984,-12.0164,11,11
605129,8.33691,-12.9679,5,5
605130,8.47478,-13.1913,5,5
211922,8.12697,-11.1661,4,4
651988,8.55461,-12.309,4,4
862089,8.88893,-12.0416,11,11
80859,7.57465,-11.4216,5,5
211934,8.31255,-11.6961,10,10
80867,8.29595,-12.2982,2,2
80868,8.4772,-13.2457,7,7
80877,9.19269,-11.7476,7,7
343027,7.97435,-11.7419,4,4
984829,7.76071,-12.2469,5,5
867324,7.43647,-11.8667,5,5
867325,7.25042,-11.5951,12,12
867326,8.48683,-13.2686,5,5
867327,7.96938,-11.7438,2,2
867328,7.85463,-12.2726,9,9
867329,8.49598,-13.2829,5,5
867330,9.04736,-12.218,12,12
867331,9.92116,-11.6717,11,11
712535,8.46439,-13.2501,13,13
712536,8.00172,-11.3258,1,1
712537,8.77905,-12.2662,4,4
930991,8.58965,-13.1673,7,7
930992,8.64954,-13.1929,5,5
930993,7.95107,-11.7513,10,10
605226,8.6466,-10.9625,6,6
212024,8.60396,-11.5183,8,8
756234,8.38683,-11.6625,4,4
517709,8.64322,-11.5006,11,11
930997,7.96558,-10.8353,10,10
696239,8.49771,-13.2157,2,2
474178,8.45095,-13.28,7,7
474180,8.2838,-11.8164,3,3
712546,7.3572,-11.4783,6,6
605266,7.3151,-11.3064,3,3
867424,7.66003,-12.0901,8,8
343138,7.65622,-11.8395,12,12
343139,8.48727,-13.2876,6,6
343140,8.12584,-10.8021,2,2
998507,8.59359,-11.069,598,999999999
998508,8.49085,-13.2421,174,999999999
998509,9.73809,-12.3235,408,999999999
998510,9.6238,-11.5523,313,999999999
736376,9.44075,-12.1257,3,3
736377,7.26963,-11.6927,7,7
736378,7.47984,-12.5631,6,6
736379,7.93737,-11.5757,4,4
736380,8.53399,-12.1382,5,5
605309,9.12842,-12.7856,5,5
605310,8.84039,-10.8547,1,1
472258,9.13063,-11.5842,10,10
581485,9.18483,-12.3205,7,7
736408,8.36085,-10.6846,7,7
474276,8.06232,-10.6891,4,4
13510,8.52223,-12.126,6,6
474278,8.88939,-12.0349,3,3
474279,8.48761,-13.2237,5,5
474280,8.17264,-10.5847,9,9
474281,7.94593,-11.9141,4,4
212140,7.8367,-11.3554,4,4
605359,8.42946,-10.3407,8,8
605360,8.46028,-13.2568,6,6
57203,9.23941,-11.8583,13,13
998580,7.37097,-11.5696,337,999999999
931018,7.59232,-12.6777,2,2
605376,8.487,-13.2194,10,10
605377,8.29829,-11.2766,3,3
605378,8.47623,-13.2725,8,8
406731,9.73047,-12.315,4,4
605380,8.40927,-11.2065,5,5
831959,8.42322,-11.2628,5,5
81095,7.95442,-11.7365,7,7
931020,7.83978,-11.3566,6,6
605387,7.47127,-11.16,11,11
81102,8.39492,-10.707,6,6
81103,8.08387,-12.5356,4,4
81104,8.49157,-13.2615,6,6
81105,7.5292,-12.5037,4,4
81106,8.73917,-12.5754,8,8
81107,9.07407,-12.68,3,3
81108,8.09973,-10.7052,5,5
81109,8.45951,-13.2745,16,16
81110,9.42105,-12.1211,10,10
212195,8.86446,-12.6066,1,1
831960,7.9653,-10.8366,5,5
212197,8.1628,-11.8328,5,5
212199,7.06414,-11.4304,7,7
474346,8.57338,-11.3893,4,4
343277,8.47868,-13.2442,10,10
736498,7.95026,-10.992,6,6
537811,9.4153,-11.9714,4,4
474360,7.85161,-10.6568,6,6
474361,8.35435,-12.9146,9,9
474364,9.12571,-12.639,7,7
474365,8.88493,-12.0452,1,1
474366,7.99527,-10.9445,8,8
474367,8.07642,-10.9493,4,4
474368,8.49054,-13.2147,3,3
474369,8.46743,-13.2267,4,4
474370,7.45303,-12.0649,8,8
212233,9.39069,-12.2377,12,12
81167,8.49007,-13.2416,3,3
867602,7.96362,-11.7326,6,6
867603,9.64332,-10.9534,3,3
867604,7.93698,-11.3984,9,9
867605,8.4985,-13.2911,11,11
867606,9.20114,-11.9624,14,14
867607,7.84983,-11.4365,5,5
867608,8.47725,-13.2336,3,3
867609,9.45412,-11.2528,6,6
867610,7.51768,-11.375,2,2
212253,8.88358,-12.0331,3,3
212254,7.9544,-10.9601,4,4
212255,8.89154,-12.0453,9,9
212256,9.09308,-12.7487,5,5
212257,8.71713,-11.9459,1,1
212258,7.8835,-11.1858,5,5
212259,8.4958,-13.2892,1,1
212260,8.68692,-12.6884,6,6
712582,7.35213,-11.6381,7,7
