Source,Target,Type
813150,813142,Undirected
813150,813143,Undirected
813150,813144,Undirected
813150,813145,Undirected
813150,813146,Undirected
813150,813147,Undirected
813150,813148,Undirected
813150,813149,Undirected
827180,355447,Undirected
847600,847595,Undirected
847600,847596,Undirected
847600,847597,Undirected
847600,847598,Undirected
847600,847599,Undirected
848690,10019,Undirected
848690,77987,Undirected
848690,124674,Undirected
848690,200392,Undirected
848690,202739,Undirected
848690,243242,Undirected
848690,261753,Undirected
848690,450671,Undirected
848690,686861,Undirected
848690,813142,Undirected
848690,848688,Undirected
848690,848689,Undirected
861470,861468,Undirected
861470,861469,Undirected
861480,6511,Undirected
861480,49671,Undirected
861480,82922,Undirected
861480,124959,Undirected
861480,272757,Undirected
861480,399797,Undirected
861480,437490,Undirected
861480,506166,Undirected
861480,598259,Undirected
861480,747698,Undirected
861480,836896,Undirected
861480,861468,Undirected
861480,861469,Undirected
861480,861470,Undirected
861480,861471,Undirected
861480,861472,Undirected
861480,861473,Undirected
861480,861474,Undirected
861480,861475,Undirected
861480,861476,Undirected
861480,861477,Undirected
861480,861478,Undirected
861480,861479,Undirected
870030,215097,Undirected
870030,471989,Undirected
870030,645759,Undirected
870030,655127,Undirected
870030,743774,Undirected
870030,754114,Undirected
870030,758939,Undirected
870030,789250,Undirected
908030,43145,Undirected
908030,44104,Undirected
908030,62384,Undirected
908030,91322,Undirected
908030,300303,Undirected
908030,310909,Undirected
908030,322305,Undirected
908030,325418,Undirected
908030,341849,Undirected
908030,355441,Undirected
908030,445488,Undirected
908030,737085,Undirected
908030,855867,Undirected
908030,908028,Undirected
908030,908029,Undirected
911320,71271,Undirected
911320,75374,Undirected
911320,76255,Undirected
911320,91735,Undirected
911320,507227,Undirected
911320,509385,Undirected
911320,704516,Undirected
911320,708500,Undirected
911320,709126,Undirected
911320,911316,Undirected
911320,911317,Undirected
911320,911318,Undirected
911320,911319,Undirected
918220,91320,Undirected
918220,338544,Undirected
918220,449787,Undirected
918220,565199,Undirected
918220,848724,Undirected
918220,918217,Undirected
918220,918218,Undirected
918220,918219,Undirected
919940,216390,Undirected
919940,404269,Undirected
919940,861472,Undirected
1011270,1011267,Undirected
1011270,1011268,Undirected
1011270,1011269,Undirected
1028290,325418,Undirected
1028290,381033,Undirected
1028290,493321,Undirected
1028290,581976,Undirected
1028290,592130,Undirected
1028290,711203,Undirected
1028290,789245,Undirected
1028290,854013,Undirected
1028290,856733,Undirected
1028290,928151,Undirected
1028290,1028287,Undirected
1028290,1028288,Undirected
1028290,1028289,Undirected
1034870,1034869,Undirected
1050430,48640,Undirected
1050430,54421,Undirected
1050430,91320,Undirected
1050430,202739,Undirected
1050430,226364,Undirected
1050430,502507,Undirected
1050430,507227,Undirected
1050430,613132,Undirected
1050430,631580,Undirected
1050430,1050426,Undirected
1050430,1050427,Undirected
1050430,1050428,Undirected
1050430,1050429,Undirected
1079710,282660,Undirected
1079710,338544,Undirected
1079710,418113,Undirected
1079710,471963,Undirected
1079710,510663,Undirected
1079710,607503,Undirected
1079710,711203,Undirected
1079710,1042266,Undirected
1079710,1045313,Undirected
1079710,1079709,Undirected
1095500,1095496,Undirected
1099610,117616,Undirected
1099610,230474,Undirected
1099610,278391,Undirected
1099610,282660,Undirected
1099610,306380,Undirected
1099610,471963,Undirected
1099610,577182,Undirected
1099610,807529,Undirected
1099610,856733,Undirected
1099610,990089,Undirected
1099610,1023199,Undirected
1099610,1099609,Undirected
1100500,143381,Undirected
1100500,230760,Undirected
1100500,449787,Undirected
1100500,565199,Undirected
1100500,786446,Undirected
1100500,810853,Undirected
1100500,848352,Undirected
1100500,918220,Undirected
1100500,1046239,Undirected
1107590,641406,Undirected
1107590,684200,Undirected
1122840,1122838,Undirected
1129570,1520,Undirected
1129570,80706,Undirected
1129570,230760,Undirected
1129570,233554,Undirected
1129570,305207,Undirected
1129570,311418,Undirected
1129570,622811,Undirected
1129570,813142,Undirected
1129570,916946,Undirected
1129570,975852,Undirected
1129570,1085273,Undirected
1129570,1129569,Undirected
1151310,230759,Undirected
1163950,1163948,Undirected
1163950,1163949,Undirected
1189620,22535,Undirected
1189620,504748,Undirected
1189620,551222,Undirected
1189620,867322,Undirected
1189620,1055335,Undirected
1189620,1170952,Undirected
1189620,1189616,Undirected
1189620,1189617,Undirected
1189620,1189618,Undirected
1189620,1189619,Undirected
1190350,129820,Undirected
1190350,199673,Undirected
1190350,201320,Undirected
1190350,512670,Undirected
1190350,799406,Undirected
1190350,944964,Undirected
1190350,1048113,Undirected
1190350,1117931,Undirected
1190350,1190347,Undirected
1190350,1190348,Undirected
1190350,1190349,Undirected
1211610,1211607,Undirected
1220760,341847,Undirected
1234130,6791,Undirected
1234130,212078,Undirected
1234130,231747,Undirected
1234130,234665,Undirected
1234130,375706,Undirected
1234130,404269,Undirected
1234130,433381,Undirected
1234130,479519,Undirected
1234130,613132,Undirected
1234130,708500,Undirected
1234130,763276,Undirected
1234130,987029,Undirected
1234130,998098,Undirected
1234130,1090096,Undirected
1234130,1178367,Undirected
1234130,1234122,Undirected
1234130,1234123,Undirected
1234130,1234125,Undirected
1234130,1234126,Undirected
1234130,1234127,Undirected
1234130,1234128,Undirected
1234130,1234129,Undirected
1244820,1244817,Undirected
1253600,806106,Undirected
1253600,1253598,Undirected
1253600,1253599,Undirected
1261090,254712,Undirected
1261090,325418,Undirected
1261090,381033,Undirected
1261090,493321,Undirected
1261090,581976,Undirected
1261090,592130,Undirected
1261090,609874,Undirected
1261090,711203,Undirected
1261090,725914,Undirected
1261090,773706,Undirected
1261090,778702,Undirected
1261090,854013,Undirected
1261090,865881,Undirected
1261090,918220,Undirected
1261090,928151,Undirected
1261090,1028290,Undirected
1261090,1163949,Undirected
1261090,1178412,Undirected
1261090,1249975,Undirected
1261090,1253599,Undirected
1285650,656208,Undirected
1285650,738863,Undirected
1285650,893288,Undirected
1285650,1013178,Undirected
1285650,1285646,Undirected
1285650,1285647,Undirected
1285650,1285648,Undirected
1285650,1285649,Undirected
1307560,1307557,Undirected
1312040,341847,Undirected
1312040,725910,Undirected
1337950,578694,Undirected
1337950,1300887,Undirected
1340840,37177,Undirected
1340840,133036,Undirected
1340840,151598,Undirected
1340840,622811,Undirected
1340840,648069,Undirected
1340840,853106,Undirected
1340840,1129113,Undirected
1340840,1233875,Undirected
1340840,1249975,Undirected
1340840,1340838,Undirected
1340840,1340839,Undirected
1352230,9547,Undirected
1352230,58714,Undirected
1352230,320616,Undirected
1352230,651448,Undirected
1352230,1122463,Undirected
1352230,1352225,Undirected
1352230,1352226,Undirected
1352230,1352227,Undirected
1352230,1352228,Undirected
1352230,1352229,Undirected
1360880,124674,Undirected
1360880,143373,Undirected
1360880,261753,Undirected
1360880,599522,Undirected
1360880,725907,Undirected
1360880,847599,Undirected
1360880,848724,Undirected
1360880,861975,Undirected
1360880,897931,Undirected
1360880,1095496,Undirected
1360880,1184429,Undirected
1360880,1211256,Undirected
1360880,1244817,Undirected
1389710,1389700,Undirected
1389710,1389701,Undirected
1389710,1389702,Undirected
1389710,1389703,Undirected
1389710,1389704,Undirected
1389710,1389705,Undirected
1389710,1389706,Undirected
1389710,1389707,Undirected
1389710,1389708,Undirected
1389710,1389709,Undirected
1398080,91320,Undirected
1398080,149939,Undirected
1398080,433381,Undirected
1398080,449787,Undirected
1398080,565199,Undirected
1398080,834753,Undirected
1398080,864991,Undirected
1398080,918220,Undirected
1398080,1046239,Undirected
1398080,1063233,Undirected
1398080,1073584,Undirected
1398080,1398077,Undirected
1398080,1398078,Undirected
1398080,1398079,Undirected
1417710,229093,Undirected
1417710,267793,Undirected
1417710,445527,Undirected
1417710,525691,Undirected
1417710,639790,Undirected
1417710,1351328,Undirected
1428130,641409,Undirected
1443510,1081969,Undirected
1443510,1182328,Undirected
1443510,1205816,Undirected
1443510,1207389,Undirected
1443510,1296527,Undirected
1443510,1324623,Undirected
1443510,1361413,Undirected
1443510,1392465,Undirected
1443510,1394908,Undirected
1443510,1395729,Undirected
1443510,1396231,Undirected
1443510,1414954,Undirected
1443510,1421765,Undirected
1443510,1430141,Undirected
1443510,1430142,Undirected
1444130,418168,Undirected
1448440,76255,Undirected
1448440,91322,Undirected
1448440,91735,Undirected
1448440,529185,Undirected
1448440,539779,Undirected
1448440,704516,Undirected
1448440,708500,Undirected
1448440,747697,Undirected
1448440,847599,Undirected
1448440,861468,Undirected
1448440,911320,Undirected
1448440,1285648,Undirected
1448440,1337093,Undirected
1448440,1398255,Undirected
1448440,1405808,Undirected
1448440,1448438,Undirected
1448440,1448439,Undirected
1448610,13694,Undirected
1448610,1230773,Undirected
1449510,905936,Undirected
1449510,1182328,Undirected
1449510,1207389,Undirected
1449510,1285371,Undirected
1449510,1287107,Undirected
1449510,1324623,Undirected
1449510,1392458,Undirected
1449510,1395729,Undirected
1449510,1396231,Undirected
1449510,1414398,Undirected
1449510,1414954,Undirected
1449510,1420161,Undirected
1449510,1421765,Undirected
1449510,1422652,Undirected
1449510,1423316,Undirected
1449510,1443510,Undirected
1496050,13694,Undirected
1496050,1230773,Undirected
1496050,1448610,Undirected
1496050,1496047,Undirected
1496050,1496048,Undirected
1496050,1496049,Undirected
1510480,765886,Undirected
1510480,932157,Undirected
1510480,1296243,Undirected
1510480,1354286,Undirected
1510720,1510715,Undirected
1514220,905936,Undirected
1514220,1207389,Undirected
1514220,1298696,Undirected
1514220,1309076,Undirected
1514220,1365565,Undirected
1514220,1372631,Undirected
1514220,1394908,Undirected
1514220,1401888,Undirected
1514220,1412144,Undirected
1514220,1414954,Undirected
1514220,1425452,Undirected
1514220,1438834,Undirected
1514220,1443844,Undirected
1514220,1449510,Undirected
1514220,1453134,Undirected
1514220,1473482,Undirected
1514220,1479094,Undirected
1514220,1480004,Undirected
1521000,141653,Undirected
1521000,245952,Undirected
1521000,297951,Undirected
1521000,382405,Undirected
1521000,748987,Undirected
1521000,908028,Undirected
1521000,961711,Undirected
1521000,1452593,Undirected
1521000,1485414,Undirected
1521000,1501479,Undirected
1527330,84622,Undirected
1527330,580831,Undirected
1527330,634321,Undirected
